"Signal_Source","Signal_Position","Claim_Location","Label_Location"
"局部_小米MAX3/20230509_1841","(2540,2940)","[""b2"", ""d2""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230509_1841","(5915,6315)","[""f3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230509_1848","(2715,3115)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230509_1848","(5153,5553)","[""b5"", ""f1""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230509_1848","(8591,8991)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230509_1852","(2552,2952)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230509_1852","(5725,6125)","[""a5"", ""e4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230509_1852","(8446,8846)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230509_1852","(9478,9878)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1855","(2460,2860)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1855","(5454,5854)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1855","(7989,8389)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1855","(9154,9554)","[""a6""]","[""d4""]"
"局部_小米MAX3/20230513_1858","(2533,2933)","[""a3"", ""d1""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1858","(8168,8568)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1902","(2525,2925)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1902","(5658,6058)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1902","(8246,8646)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1906","(2575,2975)","[""e1"", ""c1""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1906","(5762,6162)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1906","(8136,8536)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1909","(2472,2872)","[""e3"", ""e5""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1909","(7978,8378)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1912","(2427,2827)","[""e6"", ""e4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1912","(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1912","(8003,8403)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230513_1915","(2454,2854)","[""d3"", ""a2""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1915","(5020,5420)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1922","(2415,2815)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1922","(3923,4230)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230513_1922","(5463,5863)","[""a6"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230513_1922","(8073,8473)","[""e5""]","[""d4""]"
"局部_小米MAX3/20230529_2029","(2664,3064)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230529_2029","(8533,8933)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230529_2029","(9724,10100)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230614_2040","(2727,3127)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230614_2040","(6153,6490)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230614_2040","(7327,7727)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230614_2040","(8686,9086)","[""b6""]","[""d4""]"
"局部_小米MAX3/20230614_2040","(9964,10364)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230614_2044","(2594,2994)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230614_2044","(8378,8778)","[""d2""]","[""d4""]"
"局部_小米MAX3/20230614_2051","(484,884)","[""a6""]","[""e4""]"
"局部_小米MAX3/20230614_2051","(2697,3097)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230614_2051","(5969,6369)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230614_2051","(8588,8988)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230614_2051","(9741,10141)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230616_2132","(0,400)","[""a2""]","[""e4""]"
"局部_小米MAX3/20230616_2132","(2799,3199)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230616_2132","(8807,9207)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230616_2136","(508,908)","[""e4""]","[""e4""]"
"局部_小米MAX3/20230616_2136","(2723,3123)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230616_2136","(6009,6409)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230616_2136","(8655,9055)","[""a5""]","[""d4""]"
"局部_小米MAX3/20230616_2136","(9750,10150)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230616_2139","(2636,3036)","[""d3"", ""c3""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230616_2139","(5703,6103)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230616_2142","(2594,2994)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230616_2142","(5695,6095)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230616_2142","(7184,7584)","[""d6"", ""a3""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230704_1948","(2480,2880)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230704_1948","(5399,5799)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230704_1948","(6858,7258)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230704_1955","(490,890)","[""e4""]","[""e4""]"
"局部_小米MAX3/20230704_1955","(2721,3121)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230704_1955","(5812,6212)","[""d3"", ""a6""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230704_1955","(8295,8695)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230704_1959","(477,877)","[""e4""]","[""e4""]"
"局部_小米MAX3/20230704_1959","(2580,2980)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230704_1959","(8179,8579)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230705_1303","(2630,3030)","[""d6"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230705_1303","(5785,6185)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230705_1306","(461,861)","[""c3""]","[""e4""]"
"局部_小米MAX3/20230705_1306","(2624,3024)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230705_1306","(8180,8580)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230705_1306","(9319,9719)","[""e5""]","[""d4""]"
"局部_小米MAX3/20230705_1310","(2746,3146)","[""a2"", ""d2""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230705_1310","(4121,4430)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230705_1310","(5481,5881)","[""a3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230705_1310","(8361,8761)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230705_1310","(9508,9908)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230706_2039","(2618,3018)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230706_2039","(5905,6305)","[""d3"", ""c6""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230706_2039","(7002,7402)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230706_2039","(8778,9178)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230706_2039","(9994,10394)","[""b4""]","[""d4""]"
"局部_小米MAX3/20230706_2046","(2685,3085)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230706_2046","(8576,8976)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230706_2046","(9719,9960)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230706_2050","(5630,6030)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230706_2050","(8362,8762)","[""e4""]","[""d4""]"
"局部_小米MAX3/20230706_2050","(9482,9882)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230707_1524","(2525,2925)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230707_1524","(5526,5926)","[""a4"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230707_1524","(8190,8590)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230707_1528","(2598,2998)","[""d3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230707_1528","(8261,8661)","[""d4""]","[""d4""]"
"局部_小米MAX3/20230707_1531","(2712,3112)","[""b3"", ""d4""]","[""d3"", ""d4""]"
"局部_小米MAX3/20230707_1531","(5762,6162)","[""d3"", ""c4""]","[""d3"", ""c4""]"
"局部_小米MAX3/20230707_1531","(8356,8756)","[""d4""]","[""d4""]"
