Path_ID,Start_Anchor,End_Anchor,Path_Length,Path_Situation
0,0,1,68,"[(0, 12), (1, 21), (-1, 35)]"
1,1,2,53,"[(0, 15), (-1, 38)]"
2,2,3,23,"[(0, 17), (-1, 6)]"
3,4,5,35,"[(0, 12), (-1, 23)]"
4,5,6,43,"[(0, 15), (-1, 10), (-1, 18)]"
5,6,0,95,"[(0, 21), (1, 8), (1, 31), (-1, 19), (-1, 11), (-1, 5)]"
6,0,8,12,"[(0, 12)]"
7,9,2,65,"[(0, 1), (-1, 22), (-1, 41), (-1, 1)]"
8,0,11,28,"[(0, 25), (-1, 3)]"
9,11,12,63,"[(0, 1), (1, 13), (1, 7), (-1, 42)]"
10,12,13,37,"[(0, 14), (-1, 7), (-1, 16)]"
11,13,14,37,"[(0, 37)]"
12,14,15,7,"[(0, 7)]"
13,15,3,46,"[(0, 17), (1, 23), (-1, 6)]"
14,16,17,87,"[(0, 13), (-1, 57), (-1, 17)]"
15,18,16,57,"[(0, 16), (-1, 41)]"
16,16,20,20,"[(0, 18), (-1, 2)]"
17,20,17,116,"[(0, 72), (-1, 44)]"
18,21,22,146,"[(0, 6), (1, 2), (-1, 13), (1, 32), (-1, 43), (-1, 42), (-1, 8)]"
19,22,23,59,"[(0, 14), (1, 45)]"
